"","common_ccusips","earnings_2012","earnings_2013","earnings_2014","earnings_2015","earnings_avg_chg","ep_2015","mktcap_2015"
"1","004446100",16.981,22.328,29,33.483,0.256095057650935,0.046690469421403,717.12708
"3","00508Y102",116.3,127.4,175.8,222.1,0.24623869726525,0.0261755128786505,8485.02954
"4","01863R104",0.428,1.219,1.239,0.326,0.37588438255782,0.0308901586702374,10.553523
"6","032657207",43.071,31.121,34.48,33.481,-0.0661628772255807,0.033410085423185,1002.12255
"7","03820C105",108.779,118.149,112.821,115.484,0.0215487038357366,0.0725263358101107,1592.30435
"8","053015103",1388.5,1405.8,1515.9,1452.5,0.016318181535409,0.0385586262337636,37669.91052
"11","05566U108",29.476,40.291,55.956,82.682,0.411110151295978,0.0509516471998554,1622.75421
"13","09073M104",112.331,112.561,110.948,107.735,-0.0137473333395617,0.0294482160371314,3658.45591
"14","102565108",1.425,3.155,1.37,1.64,0.281782252817989,0.0306582857382141,53.49288
"15","109641100",151.232,163.359,154.039,196.694,0.10001539637527,0.0558086971584293,3524.43275
"16","11133T103",123.6,212.1,263,287.1,0.349211846478521,0.047890317661181,5994.94875
"17","127190304",167.454,151.689,135.316,126.195,-0.0898294648988514,0.0645248404452734,1955.75842
"18","130222102",8.903,7.354,7.051,9.055,0.0230088804358551,0.0641718885315516,141.1054
"19","134429109",774,458,818,691,0.0741669144356173,0.0451286216036403,15311.79051
"20","138098108",31.337,39.239,43.265,47.953,0.154373155933738,0.0210311010306147,2280.09936
"23","150838100",25.536,27.264,30.681,37.217,0.135343381524804,0.0658228122125768,565.41188
"26","17275R102",8041,9990,7854,8979,0.0572693627413191,0.0621207972175507,144540.96538
"27","189054109",541,572,558,580,0.0240840975740505,0.0425059903179152,13645.13556
"28","19421R200",6.749,5.73,7.359,7.401,0.0463383865814079,0.0418071063833537,177.02732
"29","205826209",32.416,17.808,25.151,23.245,-0.0380270554011082,0.0500550842797771,464.38839
"30","210509105",2.764,2.669,2.837,2.958,0.0237417109897512,0.0588436565026418,50.2688
"31","217204106",182.119,180.025,178.687,219.783,0.0703528245377187,0.0482129590110811,4558.58766
"32","22160K105",1709,2039,2058,2377,0.119139509927068,0.0386188242180041,61550.2944
"33","22410J106",103.081,117.265,132.128,163.903,0.168278045641825,0.0450409103855024,3638.98062
"34","247748106",5.784,7.201,8.275,6.496,0.0597157421442183,0.0460376181769217,141.102
"37","257651109",264.301,247.377,260.224,208.111,-0.0707874184491617,0.045557572446065,4568.088
"38","267475101",39.378,35.188,39.978,84.324,0.379660484561356,0.0374519828351918,2251.52298
"40","296650104",4.39,5.562,1.168,3.183,0.40071267476387,0.0518302611867387,61.412
"41","297602104",49.694,32.478,42.931,37.142,-0.0531452877086972,0.0487097554039016,762.51666
"42","30049A107",5.132,6.628,3.597,4.992,0.0740083730549648,0.0230183652155982,216.87031
"44","303075105",188.809,198.637,211.543,241.051,0.0855049213135987,0.036855613951037,6540.41472
